No.,Observed Passband,Photometry Measurement,Uncertainty,Units,Frequency,Flux Density,Upper limit of uncertainty,Lower limit of uncertainty,Upper limit of Flux Density,Lower limit of Flux Density,NED Uncertainty,NED Units,Refcode,Significance,Published frequency,Frequency Mode,Coordinates Targeted,Spatial Mode,Qualifiers,Comments
1,W1 (WISE),16.081,+/-0.061,mag,8.94E13,1.14E-4,6.43E-6,6.43E-6,,,+/-6.43E-06,Jy,2013wise.rept....1C,uncertainty,3.3526     microns,Broad-band measurement,,From fitting to map,Profile-fit,From new raw data
2,W1 (WISE),15.885,+/-0.088,mag,8.94E13,1.37E-4,1.11E-5,1.11E-5,,,+/-1.11E-05,Jy,2013wise.rept....1C,uncertainty,3.3526     microns,Broad-band measurement,,Flux in fixed aperture,"r=8.25"" COG-corrected",From new raw data; Uncorrected for known sources in beam
3,W1 (WISE),14.627,+/-0.058,mag,8.94E13,4.36E-4,2.33E-5,2.33E-5,,,+/-2.33E-05,Jy,2013wise.rept....1C,uncertainty,3.3526     microns,Broad-band measurement,,Flux in fixed aperture,"r=22.0"" aperture",From new raw data; Uncorrected for known sources in beam
4,W2 (WISE),16.59,+/-0.318,mag,6.51E13,3.97E-5,1.16E-5,1.16E-5,,,+/-1.16E-05,Jy,2013wise.rept....1C,uncertainty,4.6028     microns,Broad-band measurement,,From fitting to map,Profile-fit,From new raw data
5,W2 (WISE),,>15.93,mag,6.51E13,,,,7.29E-5,,<7.29E-05,Jy,2013wise.rept....1C,95% confidence,4.6028     microns,Broad-band measurement,,Flux in fixed aperture,"r=8.25"" COG-corrected",From new raw data
6,W2 (WISE),15.391,+/-0.341,mag,6.51E13,1.2E-4,3.76E-5,3.76E-5,,,+/-3.76E-05,Jy,2013wise.rept....1C,uncertainty,4.6028     microns,Broad-band measurement,,Flux in fixed aperture,"r=22.0"" aperture",From new raw data; Uncorrected for known sources in beam
7,W3 (WISE),,>12.098,mag,2.59E13,,,,4.59E-4,,<4.59E-04,Jy,2013wise.rept....1C,95% confidence,11.5608    microns,Broad-band measurement,,From fitting to map,Profile-fit,From new raw data
8,W3 (WISE),,>11.505,mag,2.59E13,,,,7.92E-4,,<7.92E-04,Jy,2013wise.rept....1C,95% confidence,11.5608    microns,Broad-band measurement,,Flux in fixed aperture,"r=8.25"" COG-corrected",From new raw data
9,W3 (WISE),11.55,+/-0.427,mag,2.59E13,7.6E-4,2.99E-4,2.99E-4,,,+/-2.99E-04,Jy,2013wise.rept....1C,uncertainty,11.5608    microns,Broad-band measurement,,Flux in fixed aperture,"r=22.0"" aperture",From new raw data; Uncorrected for known sources in beam
10,W4 (WISE),,>8.081,mag,1.36E13,,,,0.0049,,<4.90E-03,Jy,2013wise.rept....1C,95% confidence,22.0883    microns,Broad-band measurement,,Flux in fixed aperture,"r=16.5"" COG-corrected",From new raw data
11,W4 (WISE),,>8.978,mag,1.36E13,,,,0.00214,,<2.14E-03,Jy,2013wise.rept....1C,95% confidence,22.0883    microns,Broad-band measurement,,From fitting to map,Profile-fit,From new raw data
12,W4 (WISE),,>8.318,mag,1.36E13,,,,0.00394,,<3.94E-03,Jy,2013wise.rept....1C,95% confidence,22.0883    microns,Broad-band measurement,,Flux in fixed aperture,"r=22.0"" aperture",From new raw data
13,1.4GHz,22.8,+/-1.1,milliJy,1.4E9,0.0228,0.0011,0.0011,,,+/-1.10E-03,Jy,1998AJ....115.1693C,uncertainty,1.40   GHz,Broad-band measurement,22 51 11.38 -15 38 6.7 (J2000),Flux integrated from map,,From new raw data
14,74 MHz (VLA),0.65,+/-0.12,Jy,7.38E7,0.65,0.12,0.12,,,+/-1.20E-01,Jy,2007AJ....134.1245C,rms uncertainty,73.8 MHz,Broad-band measurement,22 51 11.74 -15 38 06.2 (J2000),Flux integrated from map,Corrected for clean bias,From new raw data
