Filename	Label	Frequency(Hz)	Flux(Jy)	Error(Jy)	Sigma_3(Jy)	Sigma_5(Jy)
freq_layer_(1.28GHz).fits	1	1.284e+09	0.00839814	0.00017472	0.000672726	0.00112121
freq_layer_(1.28GHz).fits	2	1.284e+09	  0.218502	0.000127593	 0.0393015	 0.0655024
freq_layer_(1.28GHz).fits	3	1.284e+09	 0.0181837	9.68773e-05	0.00266685	0.00444475
freq_layer_(1.28GHz).fits	4	1.284e+09	 0.0417006	0.000164323	0.00367052	0.00611753
freq_layer_(1.28GHz).fits	5	1.284e+09	 0.0471509	0.000212549	0.00533793	0.00889655
freq_layer_(1.34GHz).fits	1	1.341e+09	0.00780698	0.000210457	0.00063653	0.00106088
freq_layer_(1.34GHz).fits	2	1.341e+09	  0.202731	0.00015369	 0.0369524	 0.0615873
freq_layer_(1.34GHz).fits	3	1.341e+09	 0.0157536	0.000116692	0.00234893	0.00391489
freq_layer_(1.34GHz).fits	4	1.341e+09	 0.0388271	0.000197933	0.00349476	 0.0058246
freq_layer_(1.34GHz).fits	5	1.341e+09	 0.0439824	0.000256023	0.00513476	0.00855793
freq_layer_(1.40GHz).fits	1	1.399e+09	0.00769213	0.000134687	0.000612791	0.00102132
freq_layer_(1.40GHz).fits	2	1.399e+09	  0.196792	9.83575e-05	 0.0357237	 0.0595395
freq_layer_(1.40GHz).fits	3	1.399e+09	  0.014364	7.46799e-05	 0.0021687	 0.0036145
freq_layer_(1.40GHz).fits	4	1.399e+09	 0.0382273	0.000126672	0.00339215	0.00565359
freq_layer_(1.40GHz).fits	5	1.399e+09	  0.043729	0.000163848	 0.0050251	0.00837516
freq_layer_(1.46GHz).fits	1	1.457e+09	0.00695312	0.000112286	0.000577298	0.000962164
freq_layer_(1.46GHz).fits	2	1.457e+09	  0.186063	8.19992e-05	 0.0338186	 0.0563643
freq_layer_(1.46GHz).fits	3	1.457e+09	 0.0124846	6.22595e-05	0.00190184	0.00316974
freq_layer_(1.46GHz).fits	4	1.457e+09	 0.0359099	0.000105604	0.00323991	0.00539984
freq_layer_(1.46GHz).fits	5	1.457e+09	 0.0427893	0.000136598	0.00485255	0.00808758
freq_layer_(1.51GHz).fits	1	1.514e+09	 0.0067474	0.000112365	0.000550163	0.000916938
freq_layer_(1.51GHz).fits	2	1.514e+09	  0.176079	8.20565e-05	 0.0321895	 0.0536492
freq_layer_(1.51GHz).fits	3	1.514e+09	 0.0107067	6.2303e-05	0.00166508	0.00277514
freq_layer_(1.51GHz).fits	4	1.514e+09	 0.0343268	0.000105678	0.00311645	0.00519409
freq_layer_(1.51GHz).fits	5	1.514e+09	 0.0411155	0.000136693	0.00471452	0.00785754
freq_layer_(1.57GHz).fits	1	1.572e+09	0.00608389	0.000119102	0.000525671	0.000876118
freq_layer_(1.57GHz).fits	2	1.572e+09	  0.169302	8.69763e-05	 0.0308559	 0.0514266
freq_layer_(1.57GHz).fits	3	1.572e+09	0.00942318	6.60385e-05	0.00147395	0.00245659
freq_layer_(1.57GHz).fits	4	1.572e+09	 0.0325686	0.000112014	0.00299754	0.00499591
freq_layer_(1.57GHz).fits	5	1.572e+09	 0.0399836	0.000144889	0.00459152	0.00765253
freq_layer_(1.63GHz).fits	1	1.629e+09	0.00486451	8.27463e-05	0.000414482	0.000690804
freq_layer_(1.63GHz).fits	2	1.629e+09	  0.135229	6.04271e-05	 0.0248303	 0.0413838
freq_layer_(1.63GHz).fits	3	1.629e+09	0.00487426	4.58805e-05	0.000762192	0.00127032
freq_layer_(1.63GHz).fits	4	1.629e+09	 0.0268352	7.78222e-05	0.00245851	0.00409751
freq_layer_(1.63GHz).fits	5	1.629e+09	 0.0354127	0.000100662	0.00401029	0.00668382
freq_layer_(1.69GHz).fits	1	1.687e+09	0.00455032	6.64214e-05	0.000390611	0.000651018
freq_layer_(1.69GHz).fits	2	1.687e+09	   0.12736	4.85055e-05	 0.0234001	 0.0390002
freq_layer_(1.69GHz).fits	3	1.687e+09	0.00402143	3.68288e-05	0.000620427	0.00103405
freq_layer_(1.69GHz).fits	4	1.687e+09	 0.0254488	6.24687e-05	0.00232641	0.00387735
freq_layer_(1.69GHz).fits	5	1.687e+09	 0.0342694	8.08025e-05	0.00386703	0.00644506
freq_layer_(1.74GHz).fits	1	1.745e+09	0.00423116	6.1104e-05	0.00036675	0.00061125
freq_layer_(1.74GHz).fits	2	1.745e+09	   0.11905	4.46224e-05	 0.0219224	 0.0365373
freq_layer_(1.74GHz).fits	3	1.745e+09	0.00311687	3.38804e-05	0.000477695	0.000796159
freq_layer_(1.74GHz).fits	4	1.745e+09	 0.0237896	5.74678e-05	 0.0021688	0.00361467
freq_layer_(1.74GHz).fits	5	1.745e+09	 0.0329254	7.43339e-05	0.00370133	0.00616889
freq_layer_(1.80GHz).fits	1	1.802e+09	0.00389534	7.93188e-05	0.000342961	0.000571602
freq_layer_(1.80GHz).fits	2	1.802e+09	  0.113295	5.79241e-05	 0.0209121	 0.0348535
freq_layer_(1.80GHz).fits	3	1.802e+09	0.00263658	 4.398e-05	0.000407288	0.000678813
freq_layer_(1.80GHz).fits	4	1.802e+09	 0.0224853	7.45986e-05	0.00207392	0.00345653
freq_layer_(1.80GHz).fits	5	1.802e+09	  0.031828	9.64924e-05	0.00358712	0.00597854
freq_layer_(1.86GHz).fits	1	1.86e+09	0.00330108	0.000120332	0.000299173	0.000498622
freq_layer_(1.86GHz).fits	2	1.86e+09	  0.100419	8.78747e-05	 0.0186088	 0.0310147
freq_layer_(1.86GHz).fits	3	1.86e+09	0.00187399	6.67206e-05	0.000294182	0.000490303
freq_layer_(1.86GHz).fits	4	1.86e+09	 0.0198728	0.000113171	0.00185343	0.00308905
freq_layer_(1.86GHz).fits	5	1.86e+09	 0.0293945	0.000146385	0.00331559	0.00552599
freq_layer_(1.92GHz).fits	1	1.917e+09	 0.0033017	7.14354e-05	0.000286829	0.000478049
freq_layer_(1.92GHz).fits	2	1.917e+09	 0.0984841	5.21671e-05	 0.0182439	 0.0304066
freq_layer_(1.92GHz).fits	3	1.917e+09	0.00174909	3.96089e-05	0.000264262	0.000440437
freq_layer_(1.92GHz).fits	4	1.917e+09	 0.0195194	6.71843e-05	 0.0017917	0.00298616
freq_layer_(1.92GHz).fits	5	1.917e+09	 0.0291902	8.69021e-05	0.00325586	0.00542643
